     0.27000      0.21388      0.03807
     0.27500      0.17575      0.04028
     0.28000      0.17358      0.04263
     0.28500      0.16925      0.04496
     0.29000      0.11666      0.04808
     0.29500      0.15085      0.05127
     0.30000      0.15313      0.05334
     0.30500      0.13142      0.05657
     0.31000      0.20182      0.05989
     0.31500      0.16397      0.06556
     0.32000      0.15893      0.08137
     0.32500      0.31879      0.17693
     0.33000      0.15726      0.02124
     0.33500      0.10488      0.02226
     0.34000      0.13603      0.02127
     0.34500      0.17811      0.02181
     0.35000      0.14894      0.02087
     0.35500      0.14225      0.02162
     0.36000      0.19843      0.02133
     0.36500      0.16456      0.02103
     0.37000      0.18212      0.02107
     0.37500      0.15840      0.02097
     0.38000      0.16075      0.02007
     0.38500      0.13078      0.02042
     0.39000      0.17024      0.01951
     0.39500      0.15677      0.01997
     0.40000      0.15121      0.01956
     0.40500      0.14490      0.01927
     0.41000      0.15143      0.01901
     0.41500      0.14673      0.01933
     0.42000      0.13486      0.01911
     0.42500      0.17994      0.01882
     0.43000      0.16924      0.01843
     0.43500      0.15801      0.01823
     0.44000      0.14829      0.01856
     0.44500      0.14272      0.01773
     0.45000      0.16319      0.01775
     0.45500      0.14937      0.01752
     0.46000      0.15628      0.01713
     0.46500      0.14152      0.01730
     0.47000      0.12749      0.01757
     0.47500      0.13238      0.01679
     0.48000      0.13258      0.01679
     0.48500      0.14748      0.01665
     0.49000      0.15239      0.01580
     0.49500      0.15561      0.01627
     0.50000      0.14079      0.01321
     0.51000      0.15785      0.01211
     0.52000      0.12842      0.01234
     0.53000      0.13876      0.01281
     0.54000      0.15904      0.01306
     0.55000      0.15890      0.01286
     0.56000      0.15390      0.01192
     0.57000      0.16841      0.01186
     0.58000      0.16965      0.01100
     0.59000      0.17019      0.01084
     0.60000      0.16895      0.01041
     0.61000      0.16395      0.01056
     0.62000      0.17617      0.01051
     0.63000      0.17014      0.01020
     0.64000      0.16236      0.01015
     0.65000      0.15562      0.01007
     0.66000      0.15341      0.01022
     0.67000      0.14573      0.00990
     0.68000      0.15336      0.00997
     0.69000      0.14235      0.00986
     0.70000      0.13695      0.00946
     0.71000      0.13368      0.00919
     0.72000      0.12955      0.00905
     0.73000      0.13595      0.00891
     0.74000      0.11818      0.00877
